,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
16135,,"7,60","80,55","Tenente Jardim (Niterói , RM do Rio de Janeiro)",,2010,"0,901","0,921","0,926","0,858","10,83","2460,54"
16136,,"10,40","77,88","Área Rural Sudoeste ( MT 070 ) (Nossa Senhora do Livramento , RM Vale do Rio Cuiabá)",,2010,"0,813","0,777","0,881","0,784","10,52","1006,41"
16137,,"16,80","74,11","Nova Hartz (Nova Hartz , RM Porto Alegre)",,2010,"0,638","0,600","0,819","0,529","8,51","335,56"
16138,,"12,60","75,14","3 Campos / Palmares (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,689","0,694","0,836","0,563","9,74","600,00"
16139,,"23,30","69,29","Adrianópolis / Bairro Amaral (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,625","0,615","0,738","0,537","8,90","367,88"
16140,,"21,00","70,56","Aeroclube de Nova Iguaçu / Nova Iguaçu futebol clube (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,650","0,644","0,759","0,561","9,36","439,77"
16141,,"13,90","75,11","Aeroclube de Nova Iguaçu / UFRJ (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,743","0,709","0,835","0,693","10,30","660,32"
16142,,"20,50","70,82","Aliança / Ipiranga / Cabuçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,680","0,648","0,764","0,636","9,90","450,46"
16143,,"23,70","69,06","Alvorada / Condomínio Beija Flor / Embelleze (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,620","0,608","0,734","0,534","8,99","352,55"
16144,,"12,50","76,20","Ambaí / Casa do Menor de Miguel Couto (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,791","0,739","0,853","0,785","10,41","794,82"
16145,,"19,90","71,20","Avenida Goiania / Rod. RJ 111 / CIEP Recanto dos Colibris (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,678","0,651","0,770","0,623","9,14","460,36"
16146,,"18,60","71,99","Bairro Botafogo / Parque Flora (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,689","0,661","0,783","0,632","10,24","490,49"
16147,,"13,20","75,66","Bernardo Kelner / Floresta (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,755","0,717","0,844","0,711","10,27","691,00"
16148,,"17,00","72,95","Cabuçu / Área de pouso de vôo livre / Rodovia RJ 105 / Rua Rei Vitório (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,679","0,671","0,799","0,583","8,85","521,92"
16149,,"23,60","69,13","Cabuçu / CIEP (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16150,,"20,30","70,94","Cabuçu / Jardim Laranjeiras / Conjunto Rosa Branca (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,660","0,636","0,766","0,590","9,48","417,85"
16151,,"16,60","73,22","Cacuia / Tinguazinho (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,709","0,674","0,804","0,658","9,24","530,22"
16152,,"23,60","69,13","Caioaba (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16153,,"12,60","76,09","Caixa Dágua do K-11 (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,773","0,734","0,852","0,738","10,21","771,59"
16154,,"22,00","69,97","Califórnia (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16155,,"9,50","78,72","Campo Belo / KM 39 (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16156,,"23,60","69,13","Campo Belo / Paradiso / Três Marias (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16157,,"23,20","69,34","Canto do Rio (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,606","0,617","0,739","0,488","8,16","373,13"
16158,,"18,60","71,99","Carlos Sampaio / Austim (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,689","0,661","0,783","0,632","10,24","490,49"
16159,,"23,20","69,34","Carmary / Estrada da Guarita (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,606","0,617","0,739","0,488","8,16","373,13"
16160,,"17,70","72,52","Centro de Carlos Sampaio (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,690","0,665","0,792","0,625","9,30","502,49"
16161,,"21,00","70,56","Centro de Nova Iguaçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,650","0,644","0,759","0,561","9,36","439,77"
16162,,"7,80","80,38","Centro de Referência e Assistência Social Darcy Ribeiro / Cras Valverde (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,897","0,910","0,923","0,860","11,07","2296,77"
16163,,"12,50","76,20","Centro entre Via Ligth e Linha férrea (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,791","0,739","0,853","0,785","10,41","794,82"
16164,,"9,50","78,72","Chacrinha / Nova Iguaçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16165,,"13,20","75,66","Chavascal / Cemitério de Nova Iguaçu / Top Shopping (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,755","0,717","0,844","0,711","10,27","691,00"
16166,,"10,90","77,48","Ciep 166 - Abílio Augusto Távora / Palhada (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,797","0,767","0,875","0,753","10,31","945,09"
16167,,"19,90","71,20","CIEP 325 Austregésilo de Athayde (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,678","0,651","0,770","0,623","9,14","460,36"
16168,,"23,60","69,13","Ciep Ministro Salgado Filho / Estrada do Saveiro / Beira Linha (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16169,,"20,90","70,62","Club 34 / Paraíso (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,666","0,646","0,760","0,602","9,01","446,24"
16170,,"10,90","77,48","Colégio Estadual Antonio da Silva (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,797","0,767","0,875","0,753","10,31","945,09"
16171,,"12,90","75,86","Comunidade Beira Rio / CIEP Professor Waldick Pereira (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,761","0,733","0,848","0,708","10,38","766,99"
16172,,"22,00","69,97","Comunidade de São Sebastião / Bairro da Luz (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16173,,"8,30","79,80","Comunidade do Cotó / Boa Vista (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,858","0,875","0,913","0,790","10,32","1849,80"
16174,,"18,60","71,94","Comunidade no Km 184 da Dutra (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,671","0,660","0,782","0,586","9,01","486,07"
16175,,"23,70","69,06","Condomínimo Comendador Soares / Granja Santa Rita / Iolanda (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,620","0,608","0,734","0,534","8,99","352,55"
16176,,"16,40","73,38","Condomínimo teresópolis / Iguaçu Velho / Cava (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,708","0,679","0,806","0,648","10,34","548,48"
16177,,"23,60","69,13","Condomínio das Cumbucas (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16178,,"9,50","78,72","Condomínio Santa Letícia (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16179,,"9,50","78,72","Conjunto Ipiranga / Vila Belga (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16180,,"14,90","74,39","Corumbá / Monte Castelo (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,734","0,697","0,823","0,690","10,46","611,47"
16181,,"18,60","71,94","Danon / Iolanda (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,671","0,660","0,782","0,586","9,01","486,07"
16182,,"22,30","69,84","Da Viga / Caioaba (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,674","0,629","0,747","0,651","9,45","401,48"
16183,,"20,50","70,82","Dom Bosco / Campo Belo / Jardim Europa (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,680","0,648","0,764","0,636","9,90","450,46"
16184,,"23,70","69,06","Escolândia / Jardim Continental (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,620","0,608","0,734","0,534","8,99","352,55"
16185,,"9,50","78,72","Estação Cava (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16186,,"12,50","76,20","Estrada Luis Soares / Barroso / Carlinda (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,791","0,739","0,853","0,785","10,41","794,82"
16187,,"13,90","75,11","Fazenda Santa Fé / Brasmix / Tinguazinho (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,743","0,709","0,835","0,693","10,30","660,32"
16188,,"23,30","69,29","Figueiras / Parque Maria da Fonte (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,625","0,615","0,738","0,537","8,90","367,88"
16189,,"23,30","69,29","Geneciano / Coréia (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,625","0,615","0,738","0,537","8,90","367,88"
16190,,"22,00","69,97","Gerard Danon / Morro Agudo (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16191,,"22,00","69,97","Grajaú / Oliveira (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16192,,"18,60","71,99","Grão Pará / Gaúcha / Paraíso (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,689","0,661","0,783","0,632","10,24","490,49"
16193,,"21,00","70,56","Grão Pará / Prados Verdes (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,650","0,644","0,759","0,561","9,36","439,77"
16194,,"23,60","69,13","Grotão (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16195,,"23,30","69,29","Guanabara / Iguatemi / Assaí (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,625","0,615","0,738","0,537","8,90","367,88"
16196,,"7,80","80,38","Hospital da Posse / Chique / Novo Oriente (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,897","0,910","0,923","0,860","11,07","2296,77"
16197,,"13,90","75,11","Iguaçu Velho (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,743","0,709","0,835","0,693","10,30","660,32"
