,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
103,,96.21,53.76,Quebrangulo (AL),,1991,0.274,0.403,0.479,0.106,5.97,98.20
104,,72.14,58.20,Rio Largo (AL),,1991,0.300,0.430,0.553,0.113,4.41,116.10
105,,60.63,60.65,Roteiro (AL),,1991,0.389,0.496,0.594,0.200,7.35,175.33
106,,100.56,53.04,Santa Luzia do Norte (AL),,1991,0.219,0.423,0.467,0.053,4.40,110.91
107,,83.93,55.93,Santana do Ipanema (AL),,1991,0.375,0.483,0.516,0.212,7.10,161.37
108,,71.73,58.28,Santana do Mundaú (AL),,1991,0.349,0.442,0.555,0.173,6.50,125.53
109,,78.92,56.88,São Brás (AL),,1991,0.266,0.417,0.531,0.085,6.89,107.16
110,,66.82,59.30,São José da Laje (AL),,1991,0.304,0.383,0.572,0.128,6.91,86.85
111,,80.16,56.64,São José da Tapera (AL),,1991,0.304,0.445,0.527,0.120,7.12,127.56
112,,113.60,50.97,São Luís do Quitunde (AL),,1991,0.204,0.332,0.433,0.059,5.87,63.20
113,,53.51,62.31,São Miguel dos Campos (AL),,1991,0.267,0.438,0.622,0.070,6.20,122.22
114,,65.65,59.55,São Miguel dos Milagres (AL),,1991,0.365,0.501,0.576,0.169,7.18,181
115,,49.51,63.30,São Sebastião (AL),,1991,0.337,0.411,0.638,0.146,6.23,103.23
116,,93.38,54.25,Satuba (AL),,1991,0.246,0.400,0.488,0.076,5.16,96.55
117,,53.97,62.20,Senador Rui Palmeira (AL),,1991,0.416,0.515,0.620,0.225,7.41,196.95
118,,100.56,53.04,Tanque D'Arca (AL),,1991,0.211,0.352,0.467,0.057,4.44,71.45
119,,77.28,57.19,Taquarana (AL),,1991,0.260,0.397,0.537,0.082,5.73,94.61
120,,72.54,58.12,Teotônio Vilela (AL),,1991,0.279,0.404,0.552,0.097,6.45,99.05
121,,90.38,54.77,Traipu (AL),,1991,0.253,0.443,0.496,0.074,4.70,126.33
122,,86.21,55.52,União dos Palmares (AL),,1991,0.248,0.315,0.509,0.095,5.54,56.87
123,,70.76,58.48,Viçosa (AL),,1991,0.312,0.463,0.558,0.118,6.32,142.26
124,,87.16,55.34,Alvarães (AM),,1991,0.306,0.452,0.506,0.125,7.32,133.49
125,,49.58,63.41,Amaturá (AM),,1991,0.306,0.487,0.640,0.092,4.59,165.64
126,,59.59,60.91,Anamã (AM),,1991,0.254,0.425,0.599,0.064,5.22,112.32
127,,61.77,60.40,Anori (AM),,1991,0.307,0.504,0.590,0.097,5.72,184.60
128,,60.44,60.71,Apuí (AM),,1991,0.357,0.489,0.595,0.157,7.20,168.24
129,,53.88,62.31,Atalaia do Norte (AM),,1991,0.322,0.542,0.622,0.099,6.02,233.59
130,,49.58,63.41,Autazes (AM),,1991,0.246,0.399,0.640,0.058,2.63,95.57
131,,49.58,63.41,Barcelos (AM),,1991,0.357,0.507,0.640,0.140,5.20,187.62
132,,55.64,61.87,Barreirinha (AM),,1991,0.317,0.518,0.615,0.100,5.12,200.70
133,,54.43,62.17,Benjamin Constant (AM),,1991,0.293,0.438,0.620,0.093,5.75,122.12
134,,53.88,62.31,Beruri (AM),,1991,0.300,0.404,0.622,0.107,6.25,98.76
135,,61.77,60.40,Boa Vista do Ramos (AM),,1991,0.272,0.420,0.590,0.081,5.07,109.23
136,,60.24,60.95,Boca do Acre (AM),,1991,0.287,0.445,0.599,0.089,7.04,127.87
137,,50.90,63.07,Borba (AM),,1991,0.288,0.484,0.635,0.078,4.44,162.27
138,,65.43,59.56,Caapiranga (AM),,1991,0.305,0.491,0.576,0.100,4.61,169.55
139,,53.88,62.31,Canutama (AM),,1991,0.258,0.482,0.622,0.057,2.28,160.79
140,,65.43,59.56,Carauari (AM),,1991,0.212,0.449,0.576,0.037,3.56,130.91
141,,63.50,60,Careiro (AM),,1991,0.268,0.465,0.583,0.071,3.20,144.53
142,,49.58,63.41,Careiro da Várzea (AM),,1991,0.237,0.422,0.640,0.049,2.90,110.51
