Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Administração Regional da Boa Vista ( R.4.BV ) (Curitiba . RM Curitiba)";"Regional Divisions";--;74.91;78.58;17.42;8.56;0.767;0.839;0.792;0.843;0.832;0.893;0.686;0.785;11.33;11.26;1102.24;1518.71
"Administração Regional da CIC (Curitiba . RM Curitiba)";"Regional Divisions";--;71.41;75.27;24.31;12.56;0.655;0.755;0.671;0.743;0.774;0.838;0.540;0.692;10.08;11.05;521.39;812.82
"Administração Regional de Santa Felicidade ( R.5.SF) (Curitiba . RM Curitiba)";"Regional Divisions";--;75.25;79.05;16.81;8.09;0.776;0.855;0.819;0.889;0.838;0.901;0.680;0.780;11.19;11.43;1306.53;2025.10
"Administração Regional do Bairro Novo ( R.10.BN ) (Curitiba . RM Curitiba)";"Regional Divisions";--;71.04;74.38;24.87;13.66;0.640;0.750;0.665;0.735;0.767;0.823;0.515;0.698;9.92;10.35;502.63;773.29
"Administração Regional Do Boqueirão ( R.2.BQ ) (Curitiba . RM Curitiba)";"Regional Divisions";--;74.23;77.63;18.52;9.64;0.734;0.811;0.747;0.800;0.821;0.877;0.645;0.760;11.11;11.69;837.50;1163.61
"Administração Regional do Cajuru ( R.3.CJ ) (Curitiba . RM Curitiba)";"Regional Divisions";--;73.43;76.94;20.32;10.65;0.715;0.806;0.753;0.813;0.807;0.866;0.601;0.743;10.65;11.76;869.78;1259.73
"Administração Regional do Portão ( R.7.PR ) (Curitiba . RM Curitiba)";"Regional Divisions";--;74.84;78.59;17.71;8.68;0.802;0.866;0.852;0.895;0.831;0.893;0.728;0.812;11.33;11.54;1608.01;2095.15
"Administração Regional Matriz ( R.1.MZ ) (Curitiba . RM Curitiba)";"Regional Divisions";--;76.96;80.51;14.00;6.67;0.887;0.928;0.953;0.967;0.866;0.925;0.845;0.894;12.13;12.29;3013.25;3292.69
"Administração Regional Pinheirinho ( R.8.PN ) (Curitiba . RM Curitiba)";"Regional Divisions";--;72.13;75.03;22.83;12.90;0.661;0.753;0.696;0.751;0.786;0.834;0.529;0.683;10.08;10.91;606.34;856.17
"Secretaria Executiva Regional do Centro de Fortaleza ( Sercefor ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;74.07;77.17;21.30;12.23;0.781;0.800;0.804;0.796;0.818;0.870;0.724;0.738;10.78;11.02;1188.58;1135.74
"Secretaria Executiva Regional III ( SER III ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;69.81;74.19;32.20;16.60;0.638;0.737;0.653;0.696;0.747;0.820;0.533;0.700;9.41;10.39;466.25;607.76
"Secretaria Executiva Regional II ( SER II ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;75.64;80.04;17.80;8.60;0.777;0.856;0.856;0.906;0.844;0.917;0.649;0.755;9.73;10.78;1650.39;2246.73
"Secretaria Executiva Regional I ( SER I ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;68.46;72.77;36.20;18.90;0.620;0.719;0.632;0.679;0.724;0.796;0.520;0.687;9.38;10.59;408.84;546.40
"Secretaria Executiva Regional IV ( SER IV ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;72.41;76.29;25.20;13.39;0.709;0.791;0.729;0.764;0.790;0.855;0.619;0.759;9.97;10.99;745.43;929.12
"Secretaria Executiva Regional VI ( SER VI ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;69.61;74.58;32.80;16.00;0.606;0.733;0.639;0.716;0.744;0.826;0.467;0.666;8.71;10.01;426.32;690.42
"Secretaria Executiva Regional V ( SER V ) (Fortaleza . RM Fortaleza)";"Regional Divisions";--;67.95;72.24;37.80;20.30;0.581;0.693;0.584;0.650;0.716;0.787;0.469;0.652;8.98;10.28;303.78;457.02
"Durval de Barros (Ibirité . RM Belo Horizonte)";"Regional Divisions";--;67.78;72.01;34.50;20.40;0.544;0.668;0.578;0.650;0.713;0.784;0.390;0.584;8.66;9.57;292.39;457.62
"Parque Elizabeth (Ibirité . RM Belo Horizonte)";"Regional Divisions";--;68.26;72.65;33.20;19.20;0.562;0.692;0.583;0.659;0.721;0.794;0.423;0.634;9.67;9.99;301.57;483.27
"Sede (Ibirité . RM Belo Horizonte)";"Regional Divisions";--;69.46;75.30;30.00;14.90;0.574;0.726;0.599;0.705;0.741;0.838;0.426;0.649;8.76;9.92;331.69;644.14
