Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Centro (Almirante Tamandaré , RM Curitiba)";HDU;--;73,18;77,66;20,40;9,50;0,680;0,774;0,693;0,753;0,803;0,878;0,565;0,702;10,58;10,41;595,39;865,90
"Jardim Planalto / Jardim Valença / Botiatuba (Almirante Tamandaré , RM Curitiba)";HDU;--;67,99;69,17;31,80;22,00;0,511;0,603;0,582;0,626;0,717;0,736;0,319;0,475;7,35;8,88;299,40;392,56
"Jardim Santa Maria (Almirante Tamandaré , RM Curitiba)";HDU;--;69,84;73,20;27,40;15,20;0,568;0,672;0,634;0,681;0,747;0,803;0,387;0,554;8,81;9,72;413,39;555,46
"Novos Horizontes da Cachoeira (Almirante Tamandaré , RM Curitiba)";HDU;--;68,38;73,68;30,80;14,50;0,557;0,683;0,604;0,686;0,723;0,811;0,396;0,572;9,52;9,62;343,98;572,82
"Restinga Seca (Almirante Tamandaré , RM Curitiba)";HDU;--;69,51;73,20;28,10;15,20;0,579;0,672;0,628;0,681;0,742;0,803;0,417;0,554;9,01;9,72;398,45;555,46
"São Miguel / Lamenha Pequena / Lamenha Grande (Almirante Tamandaré , RM Curitiba)";HDU;--;69,77;75,77;27,50;11,70;0,599;0,716;0,633;0,714;0,746;0,846;0,455;0,607;9,14;10,78;411,92;680,15
"Tanguá (Almirante Tamandaré , RM Curitiba)";HDU;--;75,69;80,11;15,90;6,90;0,778;0,877;0,801;0,890;0,845;0,919;0,696;0,825;11,06;12,16;1169,80;2028,89
"Tanguá / Lamenha Pequena (Almirante Tamandaré , RM Curitiba)";HDU;--;74,60;78,81;17,80;8,20;0,704;0,825;0,740;0,809;0,827;0,897;0,570;0,773;10,81;12,28;799,10;1225,84
"Tranqueira / Areias / Barra Santa Rita (Almirante Tamandaré , RM Curitiba)";HDU;--;70,72;72,13;25,40;16,90;0,591;0,657;0,648;0,688;0,762;0,786;0,417;0,524;8,79;9,57;452,42;579,36
"Varova (Almirante Tamandaré , RM Curitiba)";HDU;--;68,95;73,20;29,40;15,20;0,553;0,672;0,612;0,681;0,733;0,803;0,378;0,554;8,88;9,72;360,75;555,46
