Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Jacuípe (AL)";Municipality;270350;58.12;63.02;70.32;72.55;51.29;28.50;0.229;0.358;0.548;0.437;0.434;0.532;0.552;0.634;0.755;0.050;0.167;0.410;6.70;4.04;8.80;121.11;118.77;219.52
"Japaratinga (AL)";Municipality;270360;62.60;67.01;69.10;52.31;36.59;32.40;0.331;0.414;0.570;0.437;0.490;0.560;0.627;0.700;0.735;0.132;0.207;0.451;6.71;5.30;8.95;121.44;168.79;260.92
"Jaramataia (AL)";Municipality;270370;54.25;62.75;67.08;93.38;52.40;39.70;0.221;0.386;0.552;0.381;0.441;0.532;0.488;0.629;0.701;0.058;0.207;0.451;6.46;7.56;8.63;85.43;124.11;219.10
"Jequiá da Praia (AL)";Municipality;270375;57.19;64.01;71.32;77.28;47.40;25.40;0.260;0.382;0.556;0.431;0.445;0.517;0.537;0.650;0.772;0.076;0.192;0.430;5.59;5.79;9.05;117.17;127.56;199.39
"Joaquim Gomes (AL)";Municipality;270380;57.86;63.06;70.82;73.86;51.11;26.90;0.223;0.349;0.531;0.399;0.440;0.509;0.548;0.634;0.764;0.051;0.152;0.386;6.24;4.98;8.37;95.55;123.78;190.23
"Jundiá (AL)";Municipality;270390;54.97;62.85;67.90;89.24;51.98;36.60;0.278;0.380;0.562;0.453;0.443;0.573;0.500;0.631;0.715;0.095;0.196;0.434;5.06;6.20;8.70;133.86;126.24;282.87
"Junqueiro (AL)";Municipality;270400;58.12;65.43;67.85;72.54;42.10;36.80;0.281;0.426;0.575;0.429;0.482;0.586;0.552;0.674;0.714;0.094;0.238;0.454;7.01;6.99;9.16;115.22;160.89;306.96
"Lagoa da Canoa (AL)";Municipality;270410;55.93;63.04;67.16;83.93;51.22;39.40;0.248;0.383;0.552;0.406;0.435;0.541;0.516;0.634;0.703;0.073;0.204;0.443;4.43;6.78;9.37;100.05;119.75;231.56
"Limoeiro de Anadia (AL)";Municipality;270420;55.93;63.20;69.51;83.93;50.57;31.10;0.214;0.369;0.580;0.394;0.442;0.575;0.516;0.637;0.742;0.048;0.178;0.457;4.05;5.51;8.44;92.83;125.03;285.98
"Maceió (AL)";Municipality;270430;60.65;65.03;72.94;60.63;43.69;22.02;0.507;0.584;0.721;0.649;0.689;0.739;0.594;0.667;0.799;0.339;0.433;0.635;7.96;7.85;9.43;455.26;583.12;792.54
