Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Santa Rosa da Serra (MG)";Municipality;315970;66.86;72.37;76.95;32.71;21.95;12.50;0.401;0.593;0.705;0.501;0.627;0.695;0.698;0.790;0.866;0.184;0.421;0.583;8.35;9.58;9.95;180.50;396.61;603.01
"Santa Vitória (MG)";Municipality;315980;68.46;72.21;76.88;28.23;22.38;12.60;0.456;0.565;0.710;0.573;0.652;0.718;0.724;0.787;0.865;0.229;0.352;0.576;9.19;8.17;9.31;283.29;461.96;698.70
"Santo Antônio do Amparo (MG)";Municipality;315990;65.31;69.20;74.39;37.42;31.16;16.30;0.432;0.579;0.672;0.535;0.612;0.641;0.672;0.737;0.823;0.225;0.430;0.576;8.14;9.49;8.86;222.66;359.83;431.56
"Santo Antônio do Aventureiro (MG)";Municipality;316000;64.87;70.55;75.45;38.81;27.05;14.60;0.373;0.555;0.671;0.498;0.568;0.660;0.665;0.759;0.841;0.157;0.396;0.545;8.26;9.40;9.43;177.17;274.05;485.50
"Santo Antônio do Grama (MG)";Municipality;316010;64.61;68.42;74.36;41.28;33.65;16.30;0.397;0.508;0.633;0.508;0.572;0.626;0.660;0.724;0.823;0.187;0.317;0.493;7.96;7.64;9.33;188.52;280.53;393.12
"Santo Antônio do Itambé (MG)";Municipality;316020;63.21;67.72;72.65;44.33;36.01;19.20;0.238;0.392;0.558;0.401;0.462;0.537;0.637;0.712;0.794;0.053;0.183;0.408;4.53;6.67;9.03;97.27;141.44;225.85
"Santo Antônio do Jacinto (MG)";Municipality;316030;60.21;65.81;71.33;56.15;42.88;21.60;0.227;0.427;0.574;0.409;0.470;0.575;0.587;0.680;0.772;0.049;0.243;0.427;5.74;7.60;7.96;101.90;148.70;286.56
"Santo Antônio do Monte (MG)";Municipality;316040;68.85;72.10;75.37;27.20;22.67;14.80;0.484;0.623;0.724;0.606;0.690;0.736;0.731;0.785;0.840;0.256;0.447;0.615;9.06;9.45;8.77;348.11;587.14;781.49
"Santo Antônio do Retiro (MG)";Municipality;316045;60.31;65.91;72.03;55.03;42.48;20.30;0.222;0.376;0.570;0.351;0.428;0.504;0.589;0.682;0.784;0.053;0.182;0.469;2.73;7.18;9.85;70.93;114.64;183.75
"Santo Antônio do Rio Abaixo (MG)";Municipality;316050;63.53;68.40;74.39;43.24;33.72;16.30;0.314;0.537;0.669;0.436;0.586;0.616;0.642;0.723;0.823;0.111;0.365;0.591;7.58;8.96;7.88;120.69;305.94;370.28
"Santo Hipólito (MG)";Municipality;316060;63.98;68.87;74.44;41.73;32.20;16.20;0.353;0.514;0.657;0.485;0.545;0.641;0.650;0.731;0.824;0.139;0.340;0.536;7.77;9.04;8.48;163.64;237.28;431.72
"Santos Dumont (MG)";Municipality;316070;67.31;71.58;75.84;31.41;24.08;14.10;0.522;0.640;0.741;0.580;0.641;0.688;0.705;0.776;0.847;0.348;0.527;0.697;8.70;9.62;9.60;295.05;430.90;578.64
"São Bento Abade (MG)";Municipality;316080;63.79;68.42;73.03;42.36;33.66;18.50;0.378;0.532;0.672;0.523;0.588;0.651;0.647;0.724;0.801;0.160;0.353;0.581;7.66;8.14;9.06;207.55;310.20;458.65
"São Brás do Suaçuí (MG)";Municipality;316090;65.27;69.03;73.04;37.53;31.69;18.50;0.476;0.568;0.664;0.537;0.606;0.675;0.671;0.734;0.801;0.299;0.413;0.541;9.09;8.81;7.62;226.27;347.15;532.90
"São Domingos das Dores (MG)";Municipality;316095;66.68;70.44;73.01;33.25;27.36;18.60;0.355;0.507;0.638;0.531;0.607;0.602;0.695;0.757;0.800;0.121;0.283;0.539;7.55;7.44;9.72;217.92;348.75;338.29
"São Domingos do Prata (MG)";Municipality;316100;65.73;71.74;74.36;36.09;23.64;16.30;0.382;0.561;0.690;0.527;0.601;0.674;0.679;0.779;0.823;0.156;0.377;0.593;7.61;9.19;9.22;212.49;337.02;531.92
"São Félix de Minas (MG)";Municipality;316105;62.07;67.90;72.68;48.39;35.41;19.20;0.257;0.487;0.620;0.431;0.531;0.589;0.618;0.715;0.795;0.064;0.304;0.510;5.72;7.04;8.85;117.09;217.18;312.33
"São Francisco (MG)";Municipality;316110;65.38;69.21;73.26;37.19;31.13;18.20;0.342;0.485;0.638;0.442;0.496;0.595;0.673;0.737;0.804;0.135;0.312;0.542;7.94;8.90;8.79;125.16;175.22;325.23
"São Francisco de Paula (MG)";Municipality;316120;65.33;69.20;73.69;37.36;31.16;17.40;0.325;0.533;0.660;0.467;0.598;0.660;0.672;0.737;0.812;0.109;0.344;0.537;7.29;9.60;8.49;146.05;330.51;484.92
"São Francisco de Sales (MG)";Municipality;316130;69.64;73.90;77.01;25.14;18.05;12.40;0.446;0.612;0.688;0.613;0.651;0.711;0.744;0.815;0.867;0.195;0.433;0.528;8.56;8.67;8.01;361.91;460.27;665.68
"São Francisco do Glória (MG)";Municipality;316140;63.49;69.20;74.96;43.36;31.15;15.40;0.348;0.538;0.663;0.511;0.572;0.647;0.642;0.737;0.833;0.128;0.369;0.541;8.72;8.25;10.19;191.82;280.72;449.20
"São Geraldo (MG)";Municipality;316150;67.88;71.17;74.85;29.82;25.24;15.60;0.402;0.542;0.651;0.495;0.607;0.656;0.715;0.770;0.831;0.183;0.340;0.507;7.72;8.28;8.30;173.71;348.54;474.14
"São Geraldo da Piedade (MG)";Municipality;316160;63.14;66.72;71.43;44.56;39.52;21.40;0.316;0.459;0.600;0.428;0.509;0.625;0.636;0.695;0.774;0.116;0.273;0.447;5.72;7.01;8.08;114.60;190.32;391.27
"São Geraldo do Baixio (MG)";Municipality;316165;66.83;69.38;74.43;32.82;30.57;16.20;0.337;0.498;0.630;0.473;0.536;0.631;0.697;0.740;0.824;0.116;0.311;0.482;6.34;8.56;8.03;151.44;224.41;404.81
"São Gonçalo do Abaeté (MG)";Municipality;316170;64.55;70.66;72.75;39.85;26.71;19.00;0.421;0.553;0.670;0.529;0.609;0.665;0.659;0.761;0.796;0.214;0.364;0.568;9.42;8.40;8.08;215.53;354.44;502.57
"São Gonçalo do Pará (MG)";Municipality;316180;64.81;69.62;75.53;39.02;29.84;14.50;0.425;0.567;0.689;0.555;0.616;0.682;0.664;0.744;0.842;0.208;0.398;0.570;9.04;8.78;8.08;252.46;369.58;558.07
"São Gonçalo do Rio Abaixo (MG)";Municipality;316190;61.16;67.40;72.52;51.76;37.12;19.40;0.368;0.521;0.667;0.543;0.560;0.658;0.603;0.707;0.792;0.152;0.357;0.569;7.26;8.79;9.68;234.63;260.21;479.04
"São Gonçalo do Rio Preto (MG)";Municipality;312550;63.23;68.42;73.91;47.68;33.65;17.10;0.367;0.537;0.640;0.448;0.538;0.593;0.637;0.724;0.815;0.173;0.397;0.542;5.77;8.91;9.63;129.69;227.45;321.22
"São Gonçalo do Sapucaí (MG)";Municipality;316200;69.42;72.12;75.99;25.72;22.61;13.80;0.497;0.604;0.715;0.593;0.655;0.706;0.740;0.785;0.850;0.279;0.428;0.609;8.50;8.81;8.15;320.02;471.74;648.31
"São Gotardo (MG)";Municipality;316210;67.59;72.50;76.27;30.63;21.59;13.40;0.499;0.627;0.736;0.618;0.676;0.739;0.710;0.792;0.855;0.284;0.460;0.632;9.13;8.94;9.25;375.03;535.38;795.14
"São João Batista do Glória (MG)";Municipality;316220;68.22;73.29;75.69;28.88;19.57;14.30;0.443;0.607;0.724;0.607;0.653;0.713;0.720;0.805;0.845;0.199;0.426;0.631;8.20;8.95;8.43;349.15;465.62;676.07
"São João da Lagoa (MG)";Municipality;316225;64.13;68.95;73.78;41.22;31.93;17.30;0.281;0.487;0.634;0.396;0.529;0.575;0.652;0.733;0.813;0.086;0.298;0.546;6.55;8.31;9.84;94.20;214.78;286.35
"São João da Mata (MG)";Municipality;316230;69.59;72.83;74.29;25.26;20.74;16.40;0.429;0.585;0.653;0.591;0.636;0.676;0.743;0.797;0.822;0.180;0.395;0.501;9.53;9.76;7.16;316.54;419.30;538.08
"São João da Ponte (MG)";Municipality;316240;64.10;67.04;72.17;41.32;38.39;20.10;0.242;0.406;0.569;0.397;0.490;0.559;0.652;0.701;0.786;0.055;0.195;0.419;5.61;6.94;7.79;94.45;168.59;258.77
"São João das Missões (MG)";Municipality;316245;65.90;69.06;71.57;35.57;31.60;21.20;0.220;0.360;0.529;0.313;0.425;0.502;0.682;0.734;0.776;0.050;0.150;0.381;5.57;5.23;7.09;56.21;112.78;181.77
"São João Del Rei (MG)";Municipality;316250;69.63;74.58;76.57;26.96;16.43;13.00;0.532;0.673;0.758;0.613;0.679;0.733;0.744;0.826;0.860;0.331;0.544;0.690;9.08;10.12;9.96;362.32;546.07;764.74
"São João do Manhuaçu (MG)";Municipality;316255;64.59;69.98;75.16;39.72;28.72;15.10;0.291;0.506;0.650;0.517;0.631;0.659;0.660;0.750;0.836;0.072;0.274;0.498;7.68;7.42;7.99;199.56;406.05;484.15
"São João do Manteninha (MG)";Municipality;316257;62.07;67.90;73.30;48.39;35.41;18.10;0.343;0.539;0.640;0.462;0.572;0.623;0.618;0.715;0.805;0.141;0.382;0.522;7.52;8.10;8.35;142.04;280.53;385.78
"São João do Oriente (MG)";Municipality;316260;62.79;68.41;73.32;45.81;33.68;18.10;0.407;0.548;0.648;0.511;0.557;0.631;0.630;0.724;0.805;0.210;0.409;0.536;8.14;8.95;8.64;192.68;256.22;404.69
"São João do Pacuí (MG)";Municipality;316265;63.36;66.84;72.85;43.82;39.10;18.80;0.227;0.382;0.625;0.392;0.441;0.606;0.639;0.697;0.798;0.047;0.181;0.504;5.57;7.88;7.05;91.76;124.28;346.53
"São João do Paraíso (MG)";Municipality;316270;65.44;70.44;73.46;37;27.36;17.80;0.273;0.443;0.615;0.438;0.481;0.583;0.674;0.757;0.808;0.069;0.239;0.493;5.29;8.07;8.73;122.21;159.72;300.81
"São João Evangelista (MG)";Municipality;316280;61.35;67.78;73.37;51.03;35.81;18.00;0.353;0.527;0.638;0.524;0.540;0.620;0.606;0.713;0.806;0.139;0.380;0.520;6.93;8.81;8.93;207.91;229.70;378.41
"São João Nepomuceno (MG)";Municipality;316290;66.13;70.60;75.98;34.87;26.90;13.90;0.508;0.614;0.708;0.598;0.652;0.696;0.686;0.760;0.850;0.319;0.468;0.600;8.61;8.48;8.97;329.64;462.36;608.32
"São Joaquim de Bicas (MG)";Municipality;316292;64.14;69.98;75.62;41.20;28.72;14.40;0.405;0.532;0.662;0.561;0.595;0.664;0.652;0.750;0.844;0.182;0.337;0.518;6.97;8.20;7.92;261.84;323.75;498.26
"São José da Barra (MG)";Municipality;316294;69.63;74.04;77.56;26.96;17.70;11.70;0.520;0.667;0.739;0.592;0.669;0.722;0.744;0.817;0.876;0.319;0.544;0.637;9.50;8.60;8.50;319.31;514.16;714.22
"São José da Lapa (MG)";Municipality;316295;66.26;70.06;75.63;34.50;28.49;14.40;0.459;0.621;0.729;0.582;0.636;0.677;0.688;0.751;0.844;0.242;0.501;0.679;8.29;8.38;9.69;299.23;418.97;540.26
"São José da Safira (MG)";Municipality;316300;60.29;65.57;70.91;55.12;43.77;22.40;0.338;0.461;0.583;0.513;0.494;0.600;0.588;0.676;0.765;0.128;0.293;0.432;7.38;7.61;7.25;194.76;172.54;334.87
"São José da Varginha (MG)";Municipality;316310;69.40;73.90;76.41;25.75;18.05;13.20;0.403;0.576;0.704;0.580;0.581;0.682;0.740;0.815;0.857;0.153;0.404;0.597;7.76;9.30;9.35;296.09;298.08;555.77
"São José do Alegre (MG)";Municipality;316320;66.85;70.90;75.20;32.74;26.01;15.00;0.441;0.619;0.717;0.517;0.634;0.676;0.698;0.765;0.837;0.237;0.489;0.652;9.18;10.01;10.79;199.73;413.54;537.13
"São José do Divino (MG)";Municipality;316330;63.09;66.72;71.70;44.74;39.52;20.90;0.340;0.522;0.658;0.449;0.554;0.627;0.635;0.695;0.778;0.138;0.369;0.583;8.29;8.29;10.12;130.61;251.73;396.81
"São José do Goiabal (MG)";Municipality;316340;63.63;69.52;73.83;42.90;30.15;17.20;0.373;0.545;0.666;0.510;0.544;0.657;0.644;0.742;0.814;0.158;0.402;0.553;7.60;9.71;10.64;190.85;236.86;476.92
"São José do Jacuri (MG)";Municipality;316350;62.11;66.85;69.96;48.23;39.05;24.40;0.297;0.479;0.566;0.451;0.542;0.582;0.619;0.698;0.749;0.094;0.290;0.417;6.77;8.39;8.48;132.58;233.13;298.57
"São José do Mantimento (MG)";Municipality;316360;65.67;68.42;74.36;36.29;33.65;16.30;0.357;0.530;0.657;0.419;0.544;0.612;0.678;0.724;0.823;0.160;0.379;0.562;8.97;7.92;9.27;108.83;236.25;359.93
"São Lourenço (MG)";Municipality;316370;69.27;75.17;77.28;26.09;15.06;11.50;0.549;0.699;0.759;0.634;0.739;0.746;0.738;0.836;0.871;0.354;0.552;0.673;9.33;9.18;9.66;412.45;796.63;831.32
"São Miguel do Anta (MG)";Municipality;316380;64.87;71.27;74.70;38.81;24.94;15.80;0.392;0.536;0.644;0.488;0.585;0.616;0.665;0.771;0.828;0.186;0.342;0.523;7.73;7.63;9.25;166.43;305.00;370.37
"São Pedro da União (MG)";Municipality;316390;66.04;71.85;75.16;35.16;23.35;15.10;0.401;0.571;0.674;0.514;0.648;0.680;0.684;0.781;0.836;0.184;0.368;0.539;9.52;8.33;9.53;195.37;452.12;549.49
"São Pedro dos Ferros (MG)";Municipality;316400;61.54;66.35;72.34;50.34;40.87;19.80;0.400;0.545;0.659;0.494;0.591;0.631;0.609;0.689;0.789;0.212;0.397;0.576;7.60;9.23;9.07;172.53;317.40;406.87
"São Pedro do Suaçuí (MG)";Municipality;316410;62.48;66.85;72.08;46.90;39.05;20.20;0.290;0.464;0.622;0.427;0.512;0.611;0.625;0.698;0.785;0.091;0.279;0.501;7.11;8.11;8.34;114.37;193.42;358.75
"São Romão (MG)";Municipality;316420;60.31;65.91;72.22;55.03;42.48;20.00;0.298;0.518;0.640;0.484;0.528;0.586;0.589;0.682;0.787;0.093;0.386;0.568;7.46;8.46;8.42;162.48;213.48;307.02
"São Roque de Minas (MG)";Municipality;316430;67.18;72.33;75.27;31.80;22.06;14.90;0.400;0.585;0.672;0.605;0.672;0.699;0.703;0.789;0.838;0.150;0.378;0.517;7.50;7.24;9.46;344.44;524.76;621.11
"São Sebastião da Bela Vista (MG)";Municipality;316440;66.64;70.86;75.87;33.35;26.13;14.00;0.397;0.550;0.692;0.603;0.621;0.687;0.694;0.764;0.848;0.149;0.350;0.569;7.15;6.42;8.42;341.48;382.40;573.43
"São Sebastião da Vargem Alegre (MG)";Municipality;316443;63.15;69.35;74.64;44.53;30.68;15.90;0.293;0.515;0.660;0.432;0.571;0.631;0.636;0.739;0.827;0.092;0.324;0.552;5.57;8.42;8.82;117.89;279.93;406.33
"São Sebastião do Anta (MG)";Municipality;316447;61.77;65.32;70.98;49.49;44.74;22.30;0.264;0.436;0.607;0.518;0.533;0.597;0.613;0.672;0.766;0.058;0.231;0.490;4.89;7.99;9.12;200.94;220.94;327.54
"São Sebastião do Maranhão (MG)";Municipality;316450;62.07;67.89;73.94;48.39;35.42;17.00;0.271;0.441;0.581;0.422;0.477;0.564;0.618;0.715;0.816;0.076;0.252;0.427;5.44;8.29;8.51;110.62;155.51;267.28
"São Sebastião do Oeste (MG)";Municipality;316460;66.87;72.33;74.90;32.68;22.06;15.50;0.369;0.541;0.626;0.513;0.604;0.678;0.698;0.789;0.832;0.140;0.332;0.434;9.15;10.07;7.67;194.25;343.10;545.07
"São Sebastião do Paraíso (MG)";Municipality;316470;68.84;73.65;75.15;27.22;18.66;15.10;0.510;0.642;0.722;0.636;0.703;0.735;0.731;0.811;0.836;0.285;0.465;0.613;8.91;9.08;9.66;417.63;635.55;775.73
"São Sebastião do Rio Preto (MG)";Municipality;316480;64.27;67.78;73.55;40.76;35.81;17.60;0.320;0.524;0.632;0.359;0.562;0.662;0.655;0.713;0.809;0.140;0.359;0.472;4.16;9.98;9.05;74.64;263.62;493.59
"São Sebastião do Rio Verde (MG)";Municipality;316490;68.14;72.07;75.71;29.10;22.75;14.30;0.508;0.584;0.676;0.515;0.577;0.645;0.719;0.785;0.845;0.353;0.440;0.568;7.96;10.04;9.48;197.44;289.52;442.98
"São Thomé das Letras (MG)";Municipality;316520;64.81;68.42;73.03;38.99;33.66;18.50;0.326;0.531;0.667;0.497;0.628;0.640;0.664;0.724;0.801;0.105;0.329;0.578;4.84;8.28;9.25;175.94;398.03;428.33
"São Tiago (MG)";Municipality;316500;65.94;68.90;74.48;35.45;32.11;16.10;0.418;0.565;0.662;0.521;0.593;0.660;0.682;0.732;0.825;0.205;0.416;0.533;8.30;8.67;9.52;204.23;320.70;486.69
"São Tomás de Aquino (MG)";Municipality;316510;68.84;72.25;77.46;27.22;22.27;11.80;0.433;0.595;0.700;0.572;0.633;0.692;0.731;0.788;0.874;0.194;0.423;0.568;9.30;9.43;9.70;281.01;411.50;593.38
"São Vicente de Minas (MG)";Municipality;316530;68.04;73.24;75.72;29.37;19.69;14.20;0.456;0.619;0.715;0.577;0.632;0.673;0.717;0.804;0.845;0.229;0.466;0.644;7.56;8.00;9.68;290.77;407.91;527.55
"Sapucaí-Mirim (MG)";Municipality;316540;68.28;73.83;75.49;30.67;18.21;14.60;0.405;0.582;0.680;0.532;0.633;0.664;0.721;0.814;0.842;0.173;0.382;0.563;7.91;8.17;9.25;219.88;410.42;497.65
"Sardoá (MG)";Municipality;316550;66.56;69.62;73.71;33.60;29.84;17.40;0.346;0.521;0.636;0.484;0.544;0.594;0.693;0.744;0.812;0.124;0.350;0.533;7.32;7.86;9.31;163;236.72;321.60
"Sarzedo (MG)";Municipality;316553;68.56;71.76;77.28;28.75;23.60;12.00;0.412;0.588;0.734;0.572;0.612;0.706;0.726;0.779;0.871;0.168;0.426;0.643;8.32;8.84;9.52;281.37;360.48;648.26
"Sem-Peixe (MG)";Municipality;316556;62.06;69.20;74.57;48.43;31.15;16.00;0.292;0.506;0.654;0.427;0.522;0.623;0.618;0.737;0.826;0.094;0.336;0.543;8.07;10.23;9.87;113.94;206.01;386.22
"Senador Amaral (MG)";Municipality;316557;67.23;70.05;74.25;31.66;28.54;16.50;0.343;0.524;0.661;0.561;0.615;0.623;0.704;0.751;0.821;0.102;0.311;0.564;6.77;6.24;9.50;262.68;368.19;385.29
"Senador Cortes (MG)";Municipality;316560;66.69;71.58;75.05;33.21;24.08;15.30;0.410;0.520;0.674;0.474;0.566;0.689;0.695;0.776;0.834;0.209;0.321;0.534;7.42;9.05;8.84;152.64;270.60;581.34
"Senador Firmino (MG)";Municipality;316570;67.88;71.90;74.75;29.82;23.20;15.70;0.423;0.572;0.644;0.508;0.571;0.639;0.715;0.782;0.829;0.208;0.419;0.505;8.65;8.80;8.59;188.44;278.81;426.49
"Senador José Bento (MG)";Municipality;316580;67.84;72.02;74.41;29.92;22.88;16.20;0.479;0.595;0.684;0.600;0.667;0.663;0.714;0.784;0.824;0.257;0.403;0.585;8.39;9.08;10.22;333.78;508.96;493.87
"Senador Modestino Gonçalves (MG)";Municipality;316590;61.90;65.91;71.94;56.15;42.48;20.50;0.290;0.483;0.620;0.425;0.503;0.566;0.615;0.682;0.782;0.093;0.329;0.539;6.28;8.10;8.97;112.53;182.52;271.55
"Senhora de Oliveira (MG)";Municipality;316600;62.06;68.40;73.03;48.43;33.72;18.50;0.356;0.477;0.631;0.422;0.503;0.603;0.618;0.723;0.801;0.173;0.299;0.521;9.09;7.28;8.99;110.22;183.24;339.95
"Senhora do Porto (MG)";Municipality;316610;60.77;66.76;73.10;53.26;39.39;18.40;0.333;0.409;0.565;0.456;0.522;0.595;0.596;0.696;0.802;0.136;0.189;0.378;7.52;6.83;8.56;136.61;205.94;324.40
"Senhora dos Remédios (MG)";Municipality;316620;66.36;69.14;71.56;34.20;31.33;21.20;0.326;0.473;0.626;0.425;0.504;0.578;0.689;0.736;0.776;0.118;0.286;0.548;8.09;7.58;10.29;112.66;184.12;292.26
"Sericita (MG)";Municipality;316630;60.27;66.35;71.56;55.19;40.87;21.20;0.302;0.466;0.560;0.473;0.620;0.602;0.588;0.689;0.776;0.099;0.237;0.375;6.83;6.49;8.44;151.42;379.64;338.30
"Seritinga (MG)";Municipality;316640;64.53;70.64;76.17;39.90;26.76;13.60;0.462;0.532;0.660;0.525;0.562;0.657;0.659;0.761;0.853;0.285;0.352;0.512;8.48;8.10;8.62;209.80;263.55;476.43
"Serra Azul de Minas (MG)";Municipality;316650;64.17;68.09;73.55;41.08;34.77;17.60;0.281;0.438;0.557;0.416;0.473;0.537;0.653;0.718;0.809;0.082;0.247;0.398;6.05;6.84;7.68;106.36;152.07;226.22
"Serra da Saudade (MG)";Municipality;316660;65.67;71.30;76.78;36.27;24.87;12.70;0.415;0.606;0.677;0.531;0.677;0.663;0.678;0.772;0.863;0.198;0.426;0.542;7.55;7.03;9.42;217.27;539.51;494.31
"Serra dos Aimorés (MG)";Municipality;316670;62.48;67.64;72.06;46.90;36.29;20.30;0.425;0.544;0.651;0.534;0.552;0.653;0.625;0.711;0.784;0.230;0.411;0.539;7.81;9.43;8.46;221.91;248.39;464.82
"Serra do Salitre (MG)";Municipality;316680;68.36;70.58;76.11;28.51;26.93;13.70;0.440;0.588;0.696;0.603;0.647;0.722;0.723;0.760;0.852;0.196;0.414;0.549;8.07;7.94;9.88;341.09;448.76;715.23
"Serrania (MG)";Municipality;316690;65.42;71.41;75.00;37.08;24.57;15.30;0.406;0.597;0.677;0.594;0.619;0.655;0.674;0.774;0.833;0.167;0.444;0.569;8.20;9.03;8.34;321.52;376.12;470.34
"Serranópolis de Minas (MG)";Municipality;316695;62.66;68.01;71.38;46.25;35.03;21.50;0.237;0.440;0.633;0.392;0.509;0.608;0.628;0.717;0.773;0.054;0.233;0.539;7.07;8.94;10.50;91.46;189.98;351.46
"Serranos (MG)";Municipality;316700;64.53;68.52;75.05;39.90;33.34;15.20;0.348;0.507;0.643;0.511;0.532;0.638;0.659;0.725;0.834;0.125;0.337;0.499;8.92;8.41;8.32;192.52;219.37;425.18
"Serro (MG)";Municipality;316710;64.42;69.20;75.01;45.08;31.15;15.30;0.362;0.493;0.656;0.499;0.543;0.650;0.657;0.737;0.834;0.145;0.300;0.520;6.85;7.01;8.67;178.36;234.70;457.27
"Sete Lagoas (MG)";Municipality;316720;68.04;70.56;75.37;29.37;26.99;14.80;0.511;0.660;0.760;0.620;0.681;0.742;0.717;0.759;0.840;0.301;0.556;0.705;8.66;9.72;9.95;377.87;555.25;809.26
"Setubinha (MG)";Municipality;316555;58.79;63.52;69.60;61.23;52.00;25.10;0.213;0.387;0.542;0.432;0.476;0.536;0.563;0.642;0.743;0.040;0.189;0.400;4.87;7.54;9.06;117.89;154.73;224.63
"Silveirânia (MG)";Municipality;316730;64.87;70.52;75.45;38.81;27.12;14.60;0.421;0.557;0.652;0.509;0.532;0.645;0.665;0.759;0.841;0.220;0.428;0.511;7.55;9.90;8.32;189.68;219.58;441.85
"Silvianópolis (MG)";Municipality;316740;68.25;70.90;76.87;28.82;26.01;12.60;0.466;0.576;0.699;0.579;0.673;0.706;0.721;0.765;0.865;0.242;0.372;0.559;9.62;9.37;8.51;293.05;528.11;647.64
"Simão Pereira (MG)";Municipality;316750;68.05;73.32;75.57;29.36;19.49;14.50;0.364;0.569;0.638;0.490;0.624;0.645;0.718;0.805;0.843;0.137;0.366;0.478;7.06;8.08;8.21;169.06;389.32;442.70
"Simonésia (MG)";Municipality;316760;64.32;68.19;74.36;40.59;34.42;16.30;0.340;0.506;0.632;0.437;0.577;0.622;0.655;0.720;0.823;0.137;0.312;0.493;7.61;7.66;8.46;121.01;289.52;383.01
"Sobrália (MG)";Municipality;316770;63.29;68.68;73.28;44.07;32.80;18.10;0.334;0.510;0.631;0.455;0.518;0.611;0.638;0.728;0.805;0.128;0.351;0.510;8.62;9.74;9.08;135.48;201.52;357.73
"Soledade de Minas (MG)";Municipality;316780;68.25;73.83;74.88;28.82;18.21;15.50;0.433;0.594;0.697;0.548;0.591;0.673;0.721;0.814;0.831;0.205;0.435;0.606;7.78;8.62;9.74;242.83;316.66;526.23
"Tabuleiro (MG)";Municipality;316790;67.88;70.52;74.27;29.82;27.12;16.50;0.377;0.554;0.681;0.498;0.578;0.666;0.715;0.759;0.821;0.150;0.388;0.578;9.17;8.92;9.75;177.35;292.68;503.88
"Taiobeiras (MG)";Municipality;316800;66.29;71.95;73.90;34.41;23.07;17.10;0.363;0.519;0.670;0.504;0.557;0.639;0.688;0.783;0.815;0.138;0.321;0.578;7.16;7.91;9.92;184.08;256.46;426.91
"Taparuba (MG)";Municipality;316805;63.92;70.00;72.91;41.90;28.66;18.80;0.322;0.554;0.645;0.443;0.564;0.604;0.649;0.750;0.799;0.116;0.403;0.557;6.97;9.00;9.46;125.70;267.24;344.16
"Tapira (MG)";Municipality;316810;70.07;73.33;75.80;24.08;19.45;14.10;0.425;0.578;0.712;0.633;0.641;0.759;0.751;0.806;0.847;0.161;0.374;0.561;7.87;6.89;9.06;409.87;431.25;902.00
"Tapiraí (MG)";Municipality;316820;67.18;72.33;75.84;31.80;22.06;14.10;0.352;0.552;0.667;0.482;0.592;0.670;0.703;0.789;0.847;0.129;0.360;0.522;8.14;8.39;9.10;160.30;318.75;517.65
"Taquaraçu de Minas (MG)";Municipality;316830;66.61;72.64;74.06;33.45;21.23;16.80;0.390;0.515;0.651;0.568;0.576;0.643;0.694;0.794;0.818;0.151;0.299;0.525;6.76;7.39;8.74;274.73;288.43;436.05
"Tarumirim (MG)";Municipality;316840;66.68;68.41;74.72;34.02;33.68;15.80;0.363;0.525;0.633;0.437;0.558;0.614;0.695;0.724;0.829;0.158;0.358;0.499;7.85;9.47;8.60;121.50;257.76;364.41
"Teixeiras (MG)";Municipality;316850;62.06;67.42;73.26;48.43;37.06;18.10;0.404;0.549;0.675;0.517;0.602;0.685;0.618;0.707;0.804;0.207;0.388;0.558;8.82;8.91;9.12;199.66;337.95;568.91
"Teófilo Otoni (MG)";Municipality;316860;65.38;69.76;74.45;37.19;29.40;16.20;0.440;0.589;0.701;0.582;0.635;0.698;0.673;0.746;0.824;0.217;0.431;0.598;8.21;8.62;9.42;299.32;415.51;615.34
"Timóteo (MG)";Municipality;316870;70.55;73.64;75.14;22.88;18.68;15.10;0.583;0.695;0.770;0.643;0.691;0.737;0.759;0.811;0.836;0.406;0.598;0.742;9.04;9.94;9.96;436.20;589.80;786.68
"Tiradentes (MG)";Municipality;316880;68;72.47;78.10;29.50;21.67;11.00;0.465;0.610;0.740;0.556;0.671;0.741;0.717;0.791;0.885;0.252;0.428;0.619;9.03;8.44;8.91;254.07;521.35;802.39
"Tiros (MG)";Municipality;316890;67.68;73.25;76.13;30.38;19.66;13.60;0.427;0.586;0.683;0.567;0.628;0.703;0.711;0.804;0.852;0.193;0.398;0.532;8.69;7.75;9.05;273.32;398.31;634.30
"Tocantins (MG)";Municipality;316900;66.39;71.90;72.99;34.10;23.20;18.60;0.458;0.593;0.688;0.572;0.638;0.682;0.690;0.782;0.800;0.243;0.419;0.597;8.92;8.91;9.28;280.66;423.45;557.55
