Sigla;Código;Estado;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;
MT;51;Mato Grosso;3.3742593055;3.0672042503;3.348279342;3.4737287242;3.9223151092;3.7454874678;3.9874014792;4.0808049898;4.3052317232;4.3836260401;4.4998402578;4.6071990054;4.9286031351;4.918847825;5.1646133965;5.3661119393;5.3076782485;5.4577892165;5.9608577742;6.0142671103;6.1252989217;6.2319390513;6.2718958429;6.2501751704;6.8283610559;6.9741677796;7.3122121887;7.432658223;7.6807947076;7.7556133132;
PA;15;Pará;4.4745356099;4.5534201949;4.5809888794;4.5976259145;5.0342220018;4.8233066478;4.9957228931;4.8896028222;5.1301461461;5.1187221058;5.0087426748;4.9841508357;5.1183082385;5.3020279372;5.3288894826;5.3006725514;5.4814417615;5.9559091079;6.0619292657;6.0882481463;5.4162696624;5.6255333337;5.7450562603;5.9178110734;6.0924128149;6.1880191811;6.3286875825;6.6327359538;6.7261382514;6.7597075768;
PB;25;Paraíba;2.6062629806;2.5751435426;2.7813900595;2.8702106076;3.020341924;2.9032729405;3.1228900506;3.2751945483;3.4647780349;3.5469867345;3.6199805162;4.2640140786;3.9801874899;4.0387602314;4.3826130384;4.5945630699;4.8925946866;4.2773046361;4.4407935439;4.6023378839;4.7835276258;4.951982141;5.0298748112;5.1883974256;5.4659311641;5.5962283176;6.0657049761;6.2804901752;6.3117693303;6.4646118746;
PE;26;Pernambuco;2.8599157406;2.9376317511;3.0341841992;3.1378462261;3.2639357719;3.3753006656;3.4732222562;3.620737278;3.6116493822;3.8475339964;4.0347531961;4.1108397107;4.1920263141;4.5174504332;4.5087960957;4.64461154;4.6867309456;4.983237977;5.1327927876;5.2262645048;5.3963151585;5.5437926147;5.6791782444;5.7471760188;5.9875687613;6.1805539831;6.3693962641;6.6100506309;6.8107417516;6.9130081067;
PI;22;Piauí;1.7806685791;1.7070342916;1.8110742854;2.031394726;2.0770963775;2.196356672;2.2193348587;2.5488371578;2.4241151049;2.5581475729;3.2310742532;3.167901011;3.3346367089;3.4620333585;3.5733904245;3.4774991221;3.6582632809;3.9422982317;4.040509094;4.1046356798;4.3678271778;4.4572889101;4.7096293668;4.9852450743;5.1165064434;5.1740113477;5.2498953853;5.5598216485;5.7543207042;5.8095826837;
PR;41;Paraná;3.4340445586;3.4535372181;3.6187547937;3.7651200557;3.9177265496;4.0446804091;4.2555733009;4.3146813321;4.4481469571;4.5724241148;4.8443469526;4.9069903163;5.2302976502;5.2369139491;5.3796841241;5.5271350372;5.7278609083;6.0565471796;6.3252783813;6.5556232682;6.6630474763;6.761081263;7.034195544;7.137208529;7.4548188639;7.4905266858;7.5005410879;7.835262338;8.0757024114;8.1332133304;
RJ;33;Rio de Janeiro;5.4133520766;5.468308985;5.5930625472;5.6280183712;5.8672112165;5.941697109;5.9889108977;6.161955518;6.2151977168;6.2409280063;6.3783875046;6.493110479;6.6907439482;6.9482151507;6.8249271882;6.9553404528;6.9631306216;7.2262727236;7.3368634173;7.4503208519;7.6091654272;7.7048251511;7.9791636619;8.1028911159;8.2399095738;8.2978418092;8.4849452527;8.6964193706;8.8438152602;8.9494336188;
RN;24;Rio Grande do Norte;2.794091639;2.8519828337;3.0087598381;3.068840856;3.2220934501;3.3193398352;3.2484034197;3.5261883578;3.6217191298;3.736743645;3.9160733064;3.95234535;4.1978403973;4.404568134;4.474030062;4.5990315572;4.7872297208;5.0120720438;5.2030207357;5.1635557908;5.2055218015;5.5335153016;5.4858299324;5.7807953028;5.9671380269;6.1028536131;6.425083129;6.8035170627;6.7319819409;6.5467022862;
RO;11;Rondônia;3.382540626;4.004801654;4.2383910942;4.7144789913;5.1112155352;5.3025116123;5.059442514;5.0640576072;5.199138618;5.1165786365;5.3950926425;5.2919352987;5.6325959004;5.7330301582;5.6080610839;6.1832582854;6.2475731355;5.5837900242;5.8291810844;5.9891654435;5.6010500981;5.4987713514;5.6598031908;6.0549319707;6.0278456631;6.5198395996;6.5891233031;6.8638382283;6.7447251873;7.2808820234;
RR;14;Roraima;4.7642065551;4.6752451833;6.0018095302;4.9758316414;5.4678384919;6.9211548674;6.6961517821;6.2587798189;6.3502336268;6.7368714959;5.467895875;6.5054197965;5.4933670335;6.1043519758;6.1920452081;6.3382528657;7.9053493281;5.2960269337;5.541045997;6.458452362;6.1513055039;6.1884598147;6.5319928727;6.8126760851;7.3105598995;7.5697813642;7.9439096013;8.6095673689;7.8645772141;8.2944112761;
RS;43;Rio Grande do Sul;4.3068341811;4.4350183574;4.4306553891;4.5405655838;4.7658490629;4.7725565974;4.9744060355;5.047519567;5.1062267682;5.3218082044;5.6133385394;5.7077120713;5.8225432111;6.05096572;6.0345304866;6.1956848336;6.3414515905;6.3610411406;6.4989580692;6.6706179048;6.8239491234;6.9127120959;7.0757264279;7.105079155;7.34313829;7.4677036854;7.5960582858;7.6891952044;7.7547225205;7.9439751201;
SC;42;Santa Catarina;3.9273451798;3.9777770384;4.2249975142;4.2776258237;4.4751107565;4.6256781867;4.8370596483;4.71657164;4.988136228;4.9475532859;5.0928907183;5.3091694348;5.5913549543;5.6620185494;5.8704382589;5.8670806568;5.9072138894;6.3822479921;6.5586835372;6.8400259498;6.8751547863;7.1393532528;7.2528996829;7.3488437728;7.5951921989;7.7945750528;8.0029502764;8.085841246;8.2249446732;8.2545781338;
SE;28;Sergipe;2.4479080242;2.2360516255;2.6425194374;2.722317633;2.8568494873;2.6641538399;3.0269362756;3.1219451932;3.3074464057;3.2878217158;4.0757875265;4.1275982372;4.2367867551;4.4335138657;4.570852371;4.6593050674;4.7295048485;4.9890068531;5.2470433319;5.5508764879;5.7639145029;5.4783008791;5.6293830223;6.081654644;6.3652633403;6.2982941324;6.5082257683;6.3913027861;6.541847115;6.2412744379;
SP;35;São Paulo;4.662649097;4.6968151358;4.8734592258;4.9204098011;5.1277396882;5.259199325;5.3576804201;5.5944257754;5.531447584;5.6965587763;5.8365357099;5.9462833898;6.1332683904;6.2556811512;6.4712856168;6.6547592018;6.7147186779;6.9649508741;7.1507579561;7.3056763447;7.4349437368;7.548009215;7.796276126;7.9417051509;8.0515240887;8.2429559939;8.5192165288;8.7150959965;8.7580892403;8.9161147348;
TO;17;Tocantins;;;;;;;;;;;3.1384257167;3.2449985868;3.7151995694;4.0416968254;3.7644974819;3.9331220939;4.4559746321;4.7463135582;4.9185291453;5.3051584928;5.3578488095;5.6253801528;5.7787525592;6.121636628;6.3676022318;6.7338389958;6.7085571089;6.9472811675;7.0941963011;7.1592260177;
