Sigla;Código;Estado;1976;1977;1978;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;
PB;25;Paraíba;218.9777356623;228.2338775054;187.3791552874;230.539534166;258.5921430426;280.1752182779;250.8603710259;231.6905859423;287.032272911;389.7388331516;333.8365451496;269.1761355209;297.7978676886;334.1479110354;273.3462963922;337.4126643873;436.7601275853;399.2198852849;444.7456300749;490.9318227957;533.3678359686;386.2487966802;426.05181863;388.9254054696;421.8738102681;470.0347103004;512.0243047188;540.9800101838;577.7531784383;594.9889139006;656.019072112;681.9460413913;681.7157707489;780.2486477074;
PE;26;Pernambuco;382.8103581831;373.3716011094;315.9316210364;345.4631411951;364.8344141836;368.7883611553;313.4893808043;294.3206961562;362.9548734967;506.3005326279;406.9580449563;367.148697079;412.1344101039;383.8593862833;325.3676734889;345.0164779442;420.0366454702;432.6032670908;416.0743327738;449.8800655362;427.3355376532;436.6306061263;441.1871720909;380.2399156892;436.4814945891;448.3256131661;493.7448373114;482.9996394113;529.9839221412;543.7635182404;580.7404085733;660.385784229;667.1430153032;759.7035762736;
PI;22;Piauí;161.7949632431;170.4509400152;153.1901200446;182.8418469844;181.2239006259;184.1438920318;169.163536273;190.4738040285;203.4988356733;319.4777118097;237.6275581783;195.1733820912;228.6100566966;229.4601235377;225.4126392729;258.7620943211;297.7307964484;295.9613546827;306.3176052898;322.0641706654;319.4150117733;360.3715668513;382.998434627;348.7457922961;377.871291605;395.4635204992;467.2511712707;520.3335077813;532.3564700664;557.7644659992;538.112767406;669.8356803209;649.158870637;705.3115096535;
PR;41;Paraná;522.4605983842;623.7213627637;467.3521204884;504.5778130852;534.17236805;512.4227935464;456.2626768421;500.0477177564;591.3806154246;849.4734315667;649.6683215263;573.6810971967;663.8091521731;590.111860452;511.6918483845;635.7517418026;762.8464087076;792.9325916202;760.8264392955;756.8361242994;744.6212205721;776.9870717367;786.4410682704;766.5957400879;847.9465667191;856.5159042899;906.6462980277;1018.1640069084;1008.5675160255;1027.1224740842;1097.3887690785;1201.1615753433;1246.4448414282;1329.7108902018;
RJ;33;Rio de Janeiro;1002.6241921241;1054.0357032687;848.0615710067;975.2689846465;903.0437344768;907.0181051143;752.4031920097;682.9809294345;829.9643494666;1144.2595635306;873.2563167763;853.2955660949;989.67917002;800.7750331092;794.8045776702;738.5562391717;977.8765096027;1033.7920158719;993.7369774231;1039.3069622327;965.425119605;979.8943149431;964.4230191795;931.802882759;956.5496546512;977.1386349833;1094.8705984109;1066.7281495225;1125.6707939178;1172.0059570632;1152.4403770736;1213.8375418134;1302.8015999703;1435.4769449151;
RN;24;Rio Grande do Norte;307.8582751607;327.7910051887;284.0660759872;351.5202703593;307.4821505585;353.8686423725;271.8253620513;262.8952660467;304.8028101504;444.059603844;383.5264758217;361.5552552707;337.640183492;339.9295246468;340.6572961571;316.2559750088;450.9815781743;461.8315434386;451.9105876625;474.6617146521;451.4957691361;441.3900086556;448.5050513614;401.3467347143;441.3538325608;525.4629366715;543.3966365491;568.696500146;612.6630806012;639.9500285744;681.9418142192;756.9449239807;793.9636937596;762.7729077935;
RO;11;Rondônia;973.5683277415;691.5397586238;587.0818484449;680.2763961196;566.6746036374;629.8624100794;557.9848585036;695.8035991088;925.6140746906;1224.7606726628;802.277378374;692.5518524448;802.3380286626;687.8000774833;524.6856534304;539.0804481961;800.3923255239;674.7770432177;757.0892197258;851.8948510826;746.4881112478;605.9319652719;655.9428595771;570.0642208788;588.8486606476;624.849712197;682.9439386392;636.8685075434;676.176523452;778.7476641296;819.0831005094;851.9451512447;833.9860088989;950.1586657058;
RR;14;Roraima;559.5472603375;837.1126479848;647.8165991604;619.8502555821;804.2769913954;747.7543229368;782.4517650665;621.1514015655;874.9576448929;1313.6866925627;962.1907416293;959.4015564143;1225.1887457681;1308.7134132884;649.5368384084;858.0562212158;865.3223336571;904.4679726984;650.7261730155;686.0836887868;732.3638968884;559.3964262702;484.411696826;531.209011424;387.8425373072;451.2736170738;615.7729432057;547.359937099;663.2748785929;682.4459044731;870.1783162023;852.1883280358;837.2463639339;946.8174285633;
RS;43;Rio Grande do Sul;729.9155489341;819.0494319202;630.3467254941;711.2588874224;688.3588729041;733.490190508;611.1218788167;627.8394564783;776.7058954589;1024.7828937039;758.289634891;677.7431419464;803.5511506205;738.2975971402;735.848194122;770.6240592576;874.7335832833;890.013342598;856.0456463807;908.7381014614;879.7156401127;883.4340274698;872.5075585138;859.9888667219;891.6223596097;899.822116171;972.563614474;986.9401623492;1064.94205168;1093.0954843253;1144.6326440107;1214.9608939367;1292.8706427907;1444.6504677862;
SC;42;Santa Catarina;533.3125531296;580.9838596256;478.8097409182;540.4105949093;582.6176116709;575.6628422181;495.6265440787;545.4296764069;605.2118947004;918.6099752889;705.01954001;612.3822927969;750.1716049684;730.2560828666;701.6576326166;685.4598744398;851.8484972615;827.0051495996;855.6089634408;853.838910193;788.827039049;878.444948859;843.7314755075;878.3145388355;872.5179444365;959.8531166573;1066.6705449726;1088.1570867904;1126.2257774241;1218.1279642044;1242.3793988557;1283.4881330159;1357.1279152837;1503.3249271861;
