Sigla;Código;Estado;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;
MA;21;Maranhão;1.989325659;1.9273673425;2.12895349;2.0988042266;2.124080379;2.3124100893;2.2482953915;2.4874923421;2.5325701477;2.6865164577;3.0192030591;3.1402727471;3.4076907241;3.7408351902;3.5925594426;3.7838432997;3.8667848901;4.418770073;4.427733327;4.6930843294;4.9616940234;4.8318724995;5.2997870304;5.6220244253;5.8309402326;5.9797419219;5.8517934077;6.1509740278;6.2540235608;6.5697193639;
MG;31;Minas Gerais;3.4570812326;3.5146325631;3.6617859227;3.7838336384;3.9516666531;4.1021176993;4.143822668;4.2961098364;4.5108763957;4.6301217662;4.5963082267;4.7214680338;4.912962903;5.0803359638;5.1689015166;5.242375221;5.4071680781;5.7778059998;5.8122944913;6.042393934;6.204677719;6.276869198;6.5521192862;6.7279055261;6.835625357;7.0161623205;7.1811041191;7.5558998895;7.5747816115;7.7229290746;
MS;50;Mato Grosso do Sul;3.5390469624;3.4609049575;3.6518466202;3.8121765477;4.0653340539;4.2502696743;4.4433113958;4.4034481729;4.5200815764;4.702376631;4.8474408961;4.9615628963;4.9860984483;5.3037476597;5.2513475803;5.5608198532;5.6892166373;5.8584239242;6.2018023866;6.1537354073;6.3015967297;6.505363431;6.6632833273;6.8461830821;7.1497968983;7.099443146;7.7346417399;7.8721013234;7.8032228759;8.0064787356;
MT;51;Mato Grosso;3.2400777085;2.965303955;3.2742473007;3.4262570237;3.8600024764;3.7466673533;4.0262391053;4.0308398036;4.3763513014;4.3804288833;4.6670624668;4.6579634639;5.0592427274;5.047368867;5.3904035262;5.5017763577;5.4812447171;5.780915234;6.0971438247;6.2509135201;6.3350465389;6.541411531;6.6108713575;6.5623867018;7.2098501694;7.2102526918;7.6770872068;7.9261928099;8.1920910146;8.2870307033;
PA;15;Pará;4.4014503386;4.3665821969;4.4847421039;4.5885893394;4.9990163566;4.7716911935;5.0215534992;4.8738709457;5.1178171576;5.1052010984;5.0349049502;5.0498459175;5.2537233372;5.4153558803;5.5337889463;5.4187282468;5.5983326109;6.063859982;6.2522258506;6.2876702602;5.7175387075;5.9734174234;6.0927179027;6.299278134;6.489125679;6.5767879754;6.7340006281;7.0242049274;7.1307807608;7.208751523;
PB;25;Paraíba;2.7080916085;2.6583749256;2.9219752111;3.0718745211;3.1773037556;3.0665468571;3.3048211509;3.4499376227;3.8984265272;3.7505380385;3.8715900348;4.5504224907;4.3422008222;4.2706770859;4.7428625321;4.9830048516;5.1026069722;4.6437007281;4.8061996216;4.9714982299;5.1720089352;5.2890725348;5.4582222907;5.5709238216;5.761866247;5.9941997237;6.4515359879;6.7238309272;6.728479724;6.9084643607;
PE;26;Pernambuco;2.8447021015;2.9400544186;3.0336615225;3.1625905398;3.310619448;3.3721289333;3.5863784189;3.7020240989;3.6551254677;3.9495773223;4.1142391382;4.1859398209;4.3782032027;4.6617697005;4.6254522856;4.8119268645;4.8666494682;5.1635755351;5.3605709509;5.4740427052;5.5580505414;5.7941739471;5.8783130361;6.0198110966;6.2011436115;6.3926909475;6.5164949367;6.843322659;7.0056995883;7.1614166159;
PI;22;Piauí;1.9090805636;1.8473031778;1.952290865;2.0793965889;2.1673172838;2.3307988574;2.3429625817;2.704742004;2.5975827444;2.7573805282;3.4824282395;3.4325882086;3.6449205208;3.6232655465;3.905631615;3.7525589999;4.0503659369;4.3415604952;4.4747117839;4.4919011578;4.7131323621;4.8561136018;5.1444686407;5.5520872444;5.6678684029;5.6258330727;5.7350970063;6.1532514568;6.1768780806;6.4180023536;
PR;41;Paraná;3.2150968264;3.3075459374;3.4536159841;3.5946461932;3.7106054376;3.8891588477;4.0150871502;4.1509868338;4.2982385075;4.3661729688;4.6655130589;4.7349993721;5.0783113866;5.1224497893;5.2317381784;5.3697821498;5.6152526734;5.953643008;6.2358336857;6.4502737973;6.5976715748;6.752797075;6.9951460056;7.0529040979;7.3974832186;7.4619801948;7.4661953806;7.7754571973;8.0880334779;8.1192424473;
RJ;33;Rio de Janeiro;5.0356547187;5.0915350179;5.2214727318;5.2728963874;5.5047448298;5.5462326427;5.6076640442;5.8305551369;5.9106446207;6.0171146622;6.0932398694;6.2384741267;6.427869971;6.7193161337;6.6342037671;6.7142597139;6.7911117002;7.0720510738;7.1921341607;7.282237264;7.4936939731;7.5352507239;7.8456752944;7.9413873891;8.1348710178;8.1500178104;8.4503952877;8.5911620617;8.850401179;8.9098608077;
RN;24;Rio Grande do Norte;2.9369471782;3.2010546324;3.1673429828;3.4242398708;3.5452189787;3.5037819439;3.4135773769;3.7680868184;3.9434034086;4.1018873591;4.2615990218;4.2807163917;4.4733737087;4.6977416743;4.7513110408;5.0407032037;5.2068097729;5.3145380149;5.6456129048;5.4624563405;5.5822141434;5.9028058255;5.8331180628;6.1273172285;6.4052120831;6.4531936984;6.8694924422;7.2879418822;7.1314471168;6.9131832269;
RO;11;Rondônia;3.2405776935;3.8213617004;3.7598792388;4.4826776043;4.6882073973;5.0898970031;5.0242584491;4.7360617603;5.0691109491;4.9874367861;5.2321290834;5.1025743475;5.6040469114;5.6240439324;5.5575212678;6.0251093698;6.1553382432;5.6386989065;5.9022044778;6.0950032098;5.7415306176;5.6931450153;5.8690426759;6.2810445635;6.2859935501;6.7228263068;6.8422783985;7.1314844743;7.1645974829;7.6070154438;
RR;14;Roraima;4.9615970225;4.8759938625;5.3377186642;4.8502076255;4.9497896715;6.6411486158;6.5271406959;6.0532269523;6.6629296279;6.9198385487;5.6274509804;6.433661156;5.6015856421;6.5867816649;6.3658433869;6.3355651121;7.8894171933;5.4399419611;5.6108323239;6.8843046358;6.5635219318;6.9227324027;6.9780303277;7.3683681377;7.7786017987;8.1899554018;8.4506398537;9.1668563881;8.5160718349;8.8274927759;
RS;43;Rio Grande do Sul;4.1622494888;4.3065437464;4.3476630012;4.4320757069;4.6621994411;4.6783230557;4.9278526783;5.0275668604;5.0460903126;5.2979611447;5.593985985;5.6873296488;5.8446173759;6.0560074984;6.05191172;6.2052192092;6.3709414757;6.405343203;6.5157545215;6.7508183327;6.8489970934;6.9091316339;7.1630854753;7.1851816462;7.4248828184;7.5351568551;7.6996992585;7.8192147129;7.9268358094;8.0863182148;
SC;42;Santa Catarina;3.7312935127;3.8465976942;4.0053177317;4.1235913738;4.321238102;4.3206928349;4.5459929799;4.5085570833;4.7758039509;4.7302391745;4.8983038006;5.1253044087;5.423185028;5.4868564812;5.745958157;5.8058253713;5.8029112508;6.2741834694;6.4013522042;6.7420372593;6.8096904285;7.0429135673;7.2160449586;7.2178823009;7.4704356186;7.6805209697;7.9957795627;8.0515556079;8.2345426016;8.2526887588;
SE;28;Sergipe;2.4629665967;2.2765813367;2.656883307;2.7104735295;2.8043068683;2.6263351244;3.0997318913;3.2249374043;3.3368961731;3.4164729424;4.0838281362;4.3029400096;4.4226767551;4.6505580389;4.7583808677;4.8909157269;4.9834847651;5.2406072764;5.4344852927;5.808351018;6.1304128844;5.7542984549;5.934618805;6.3782725074;6.5184152854;6.6156026892;6.7009629189;6.6581251723;6.7821231665;6.549354803;
