Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
AM;1303957;São Sebastião do Uatumã;;;;;3.7;3.407;;4.469
AM;1304005;Silves;1.2;;2;;3.3;3.284;;4.318
AM;1304062;Tabatinga;;;;;3.2;3.245;;4.482
AM;1304104;Tapauá;0.5;;0.4;;0.6;0.645;;1.97
AM;1304203;Tefé;1.5;;1.8;;2.7;2.665;;4.043
AM;1304237;Tonantins;;;;;2.1;2.078;;2.524
AM;1304260;Uarini;;;;;1.9;1.909;;2.511
AM;1304302;Urucará;1.6;;2.3;;3.4;3.402;;4.376
AM;1304401;Urucurituba;1.5;;2;;2.4;2.451;;4.041
AP;1600055;Serra do Navio;;;;;;4.665;;5.389
AP;1600105;Amapá;1.2;;2.2;;3.3;3.445;;4.582
AP;1600154;Pedra Branca do Amaparí;;;;;;1.334;;3.36
AP;1600204;Calçoene;1.3;;2.4;;3;3.187;;4.552
AP;1600212;Cutias;;;;;;1.789;;3.903
AP;1600238;Ferreira Gomes;;;;;2.8;3.343;;4.645
AP;1600253;Itaubal;;;;;;1.976;;3.646
AP;1600279;Laranjal do Jari;;;;;3;3.185;;4.346
AP;1600303;Macapá;2.4;;3.8;;5.7;5.854;;6.913
AP;1600402;Mazagão;1.2;;1.7;;1.9;1.973;;3.405
AP;1600501;Oiapoque;1.8;;2.8;;3.8;3.722;;4.885
AP;1600535;Porto Grande;;;;;;3.31;;4.471
AP;1600550;Pracuúba;;;;;;2.298;;3.808
AP;1600600;Santana;;;;;3.7;3.695;;5.23
AP;1600709;Tartarugalzinho;;;;;2.5;2.635;;3.827
AP;1600808;Vitória do Jari;;;;;;2.37;;3.485
BA;2900108;Abaíra;0.8;;1.2;;2;1.953;;2.888
